Timestamp,House
3/6/2025 13:10:23,Ravenclaw
3/6/2025 13:10:27,Ravenclaw
3/6/2025 13:10:30,Slytherin
3/6/2025 13:10:32,Ravenclaw
3/6/2025 13:10:35,Slytherin
3/6/2025 13:10:37,Hufflepuff
3/6/2025 13:10:41,Slytherin
3/6/2025 13:10:44,Slytherin
3/6/2025 13:10:45,Slytherin
3/6/2025 13:10:46,Slytherin
3/6/2025 13:10:47,Slytherin
3/6/2025 13:10:48,Slytherin
3/6/2025 13:10:50,Ravenclaw
3/6/2025 13:10:54,Slytherin
3/6/2025 13:10:56,Hufflepuff
3/6/2025 13:11:08,Ravenclaw
3/6/2025 13:11:08,Ravenclaw
3/6/2025 13:11:17,Hufflepuff
3/6/2025 13:11:18,Gryffindor
3/6/2025 13:11:19,Gryffindor
3/6/2025 13:11:22,Ravenclaw
3/6/2025 13:11:24,Ravenclaw
3/6/2025 13:11:24,Ravenclaw
3/6/2025 13:11:26,Ravenclaw
3/6/2025 13:11:27,Slytherin
3/6/2025 13:11:56,Ravenclaw
3/6/2025 13:12:00,Ravenclaw
3/6/2025 13:12:04,Ravenclaw
